#,Track Title,URI,Artist(s)
1,Thread,spotify:track:0jtCa3XLLrofXAuh3dQzy7,Keane
2,Chocolate (Reworked),spotify:track:0G3ETQWG4sjlh5BOJzRfx8,Snow Patrol
3,Black Gold - Joe Turner Remix,spotify:track:3hsDshahRwLgu5oAFyS7am,EditorsJoe Turner
4,Mine,spotify:track:0cnVBn7JsFlShF65EJe2Or,The 1975
5,To The Ground,spotify:track:6MdbEX55Ks1oqGVwRb3nyX,Death Cab for Cutie
6,Wait,spotify:track:3rTnGUeDrnZV22DvRuUuXr,M83
7,One Day Like This,spotify:track:6H3S7yQjHn3ErG9o6v7qBs,Elbow
8,This Is The Last Time,spotify:track:6IVlHRrjTKep5SS9kbcpTa,Keane
9,Sleepless,spotify:track:720kcKRMGl2rJh6jsfu8Z5,Novo Amor
10,I Always Wanna Die (Sometimes),spotify:track:7iPlcFvOMOzt6v0QvcAueZ,The 1975
11,U (Man Like),spotify:track:2a8HLMRc6E0AM4xXiQ4wh6,Bon Iver
12,Where You Are,spotify:track:6MhSbUQF8Y0Yslw6E0ck1u,A R I Z O N A
13,Her Father In The Pool,spotify:track:3uTxibePaIRvQbUWK7J3Vb,The National
14,Open Your Eyes (Reworked),spotify:track:6RsmXXyg5r8FqtM338caTl,Snow Patrol
15,Politik,spotify:track:0u35Dpz37TY2M2j20RUdMf,Coldplay
16,The Runner,spotify:track:6be1c0AWyPxxSS0qiYzoUC,Foals
17,Don't Leave,spotify:track:4E2Yf4kLF6rIvh5nl6s5NC,A R I Z O N A
18,Fake Plastic Trees,spotify:track:045sp2JToyTaaKyXkGejPy,Radiohead
19,Everybody's Changing,spotify:track:5hkdfA87RZvNaxl6XiveOA,Keane
20,Feelings,spotify:track:13S1Wmygt0pGS4iUyAWzC3,M83
21,Nightvision,spotify:track:63JXZZRbmzooashakb0zbu,Daft Punk
22,Woman,spotify:track:7pEUVoZDoQg4NQwmMcyjhQ,Mumford & Sons
23,Shiver,spotify:track:0qksx8mV28lztYIZ1om8ml,Coldplay
24,You Still Love Him - Demo,spotify:track:0ybA2nkFgWNKJYyWv4Lj7T,White Lies
25,Temple of Sorrow,spotify:track:0LLxDVnGC8OqB8C25dV1S9,M83
